"RegionName","City","State","Metro","CountyName","SizeRank","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11"
"Brighton","Boston","MA","Boston","Suffolk",1,,3200,3200,3200,3400,3500,3400,3300,3300,3700,3600,3600,3600,3825,3600,3500,3500,3500,3600,3600,3500,3525,3600,3800,3800,3850,3800,3800,3899,3800,3750,3750,3750,3900,4000,3850,3800,3800,3850,3800,3900,3900,3800,3800,3800,3812.5,3800,3812.5,3800,3850,4000,4000,4000,4000,4000,4000,4000,4000,4000,3725,3700,4100,4350,4350,4300,4300,4300,4300,4300,4300,4300,4200
"Corona Valley","Eastvale","CA","Riverside","Riverside",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2695,2725,2650,2700,2725,2800,2765,2718.5,2780,2798,2800,2795,2780,2750
"Allston","Boston","MA","Boston","Suffolk",3,3900,3999,3900,3900,4000,4000,3900,3900,3900,3900,3900,3900,4000,4000,4100,4000,4000,4000,4000,4000,3975,3975,3995,3900,4000,4195,4050,4150,4200,4000,4000,4000,4000,3900,4025,4000,4200,4200,4250,4200,4000,4000,4000,3900,3900,3900,3962.5,4200,4350,4400,4500,4500,4499.5,4495,4500,4245,4100,4350,4195,4000,4200,4500,4500,4500,4500,4500,4500,4500,4440,4500,4400,4700
"North Central","Philadelphia","PA","Philadelphia","Philadelphia",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3250,3000,3000,3000,3000,3000,3000,3000,3000,3000,3150,3250,3150
"Mission Hill","Boston","MA","Boston","Suffolk",5,,4400,4200,4300,4600,4500,4500,4500,4500,4500,4600,4600,4800,4800,4800,4800,4800,4800,4800,4800,4800,4950,4950,5000,4950,4800,4800,4895,5000,4895,4800,4600,4750,4800,4800,4850,5000,4800,4850,4800,4800,4775,4600,4500,4500,4500,4575,4575,4900,5000,5000,5000,4900,4800,4800,4662.5,4600,4625,4400,4650,5000,5100,5100,5100,5000,5000,5000,4950,4900,4900,4900,5100
